"Date","Price","Open","High","Low","Change %"
"Sep 11, 2018","22.2704","22.3427","22.4459","22.2021","-0.33%"
"Sep 10, 2018","22.3434","22.3333","22.4617","22.2811","-0.00%"
"Sep 09, 2018","22.3441","22.3289","22.3491","22.3153","0.09%"
"Sep 07, 2018","22.3250","22.3058","22.3997","22.1775","0.14%"
"Sep 06, 2018","22.2945","22.4936","22.6064","22.2592","-0.89%"
"Sep 05, 2018","22.4957","22.4716","22.7606","22.4354","0.10%"
"Sep 04, 2018","22.4732","22.3097","22.5179","22.2597","0.73%"
"Sep 03, 2018","22.3096","22.1171","22.3851","22.0983","0.64%"
"Sep 02, 2018","22.1675","22.1380","22.1823","22.1338","0.10%"
"Aug 31, 2018","22.1443","22.3190","22.3955","22.1181","-0.73%"
"Aug 30, 2018","22.3064","22.1901","22.3689","22.1621","0.51%"
"Aug 29, 2018","22.1929","22.3169","22.4214","22.1711","-0.55%"
"Aug 28, 2018","22.3167","21.9218","22.3654","21.9002","1.84%"
"Aug 27, 2018","21.9143","21.9804","21.9840","21.7197","0.17%"
"Aug 26, 2018","21.8770","21.8547","21.9037","21.8547","-0.45%"
"Aug 24, 2018","21.9761","21.9537","22.1663","21.8520","0.18%"
"Aug 23, 2018","21.9361","21.7202","21.9557","21.6694","1.00%"
"Aug 22, 2018","21.7197","21.9288","22.0303","21.6886","-0.98%"
"Aug 21, 2018","21.9342","21.8207","21.9506","21.7192","0.52%"
"Aug 20, 2018","21.8206","21.6188","21.8838","21.5187","0.98%"
"Aug 19, 2018","21.6088","21.6062","21.6296","21.5973","0.00%"
"Aug 17, 2018","21.6085","21.5885","21.8350","21.5464","0.06%"
"Aug 16, 2018","21.5958","21.7167","21.7875","21.5573","-0.53%"
"Aug 15, 2018","21.7112","21.4197","21.8420","21.3584","1.36%"
"Aug 14, 2018","21.4204","21.8215","21.8462","21.4106","-1.80%"
"Aug 13, 2018","21.8140","21.5309","22.0542","21.4901","0.34%"
"Aug 12, 2018","21.7405","21.7069","21.7654","21.6577","0.75%"
